# t (s)	mx ()	my ()	mz ()	Dbulk (J/m2)	Ku1 (J/m3)
0	0.00056869123	0.00040458745	0.970831	0.0009999995	110000
0	0.00022249049	0.00016474562	0.9795677	0.0009999995	110000
0	0.00012537578	9.668074e-05	0.982325	0.0009999995	110000
0	8.501324e-05	6.699757e-05	0.9835633	0.0009999995	110000
0	6.465112e-05	5.1620096e-05	0.9842828	0.0009999995	110000
0	5.2674943e-05	4.2336582e-05	0.98476684	0.0009999995	110000
0	4.4798144e-05	3.603649e-05	0.98511827	0.0009999995	110000
0	3.9045342e-05	3.1404892e-05	0.985386	0.0009999995	110000
0	0.00070765143	0.00034377203	0.8783428	0.0015000036	110000
0	0.0002523011	0.00015143107	0.94415486	0.0015000036	110000
0	0.00012456447	8.046388e-05	0.95672303	0.0015000036	110000
0	7.526075e-05	5.0934923e-05	0.9609798	0.0015000036	110000
0	5.5128443e-05	3.8814567e-05	0.9633344	0.0015000036	110000
0	4.5308243e-05	3.2194297e-05	0.9649159	0.0015000036	110000
0	3.9065442e-05	2.793158e-05	0.9660474	0.0015000036	110000
0	3.4685756e-05	2.4558785e-05	0.9668941	0.0015000036	110000
0	0.00027213097	0.0002457081	0.0039382633	0.001999999	110000
0	0.0002942731	0.00015073818	0.87077403	0.001999999	110000
0	0.00012128799	6.3831234e-05	0.9116994	0.001999999	110000
0	5.5305667e-05	3.0192847e-05	0.9217812	0.001999999	110000
0	3.8290043e-05	2.3298075e-05	0.9282885	0.001999999	110000
0	3.4140736e-05	2.1921805e-05	0.93280715	0.001999999	110000
0	3.3363962e-05	2.0690888e-05	0.9359455	0.001999999	110000
0	3.1627624e-05	1.8652205e-05	0.93826497	0.001999999	110000
0	-0.007214653	0.0019742574	-0.00017608404	0.0024999978	110000
0	0.00030929787	0.00012635581	-0.00046967802	0.0024999978	110000
0	0.00011972114	9.661897e-06	0.83772814	0.0024999978	110000
0	3.5539826e-05	-4.7787153e-06	0.8545045	0.0024999978	110000
0	2.2647213e-05	2.845442e-06	0.8715022	0.0024999978	110000
0	2.815123e-05	1.6201824e-05	0.88236344	0.0024999978	110000
0	3.153886e-05	1.8052673e-05	0.8894914	0.0024999978	110000
0	3.090065e-05	1.5324737e-05	0.8949289	0.0024999978	110000
0	-0.0038251535	0.0019151983	-0.00014979608	0.0030000072	110000
0	1.574691e-05	-1.8826957e-05	0.0032543603	0.0030000072	110000
0	0.019522818	-0.009569084	0.03566117	0.0030000072	110000
0	-3.2621847e-05	-0.00013508384	-0.0017754394	0.0030000072	110000
0	-0.007621867	-0.0013758852	0.011921758	0.0030000072	110000
0	0.013989268	-0.0080202855	0.0051452764	0.0030000072	110000
0	-0.006902486	-0.01901478	-0.0077396315	0.0030000072	110000
0	1.7391783e-05	-1.3932585e-05	-0.004937911	0.0030000072	110000
