# x_nm  y_nm  z_nm  mx  my  mz
8.500000 39.500000 48.500000 0.254269 -0.867289 -0.427969
8.500000 39.500000 49.500000 0.349466 -0.827935 -0.438631
8.500000 39.500000 50.500000 0.420942 -0.783030 -0.457900
8.500000 39.500000 51.500000 0.473115 -0.736070 -0.484111
8.500000 39.500000 52.500000 0.509540 -0.689306 -0.515001
8.500000 39.500000 53.500000 0.533150 -0.644165 -0.548455
8.500000 39.500000 54.500000 0.546429 -0.601543 -0.582718
8.500000 39.500000 55.500000 0.551526 -0.561969 -0.616450
8.500000 39.500000 56.500000 0.550308 -0.525701 -0.648691
8.500000 39.500000 57.500000 0.544395 -0.492784 -0.678821
8.500000 39.500000 58.500000 0.535169 -0.463094 -0.706497
8.500000 39.500000 59.500000 0.523783 -0.436371 -0.731596
8.500000 39.500000 60.500000 0.511166 -0.412258 -0.754157
8.500000 39.500000 61.500000 0.498036 -0.390331 -0.774339
8.500000 39.500000 62.500000 0.484920 -0.370128 -0.792375
8.500000 39.500000 63.500000 0.472161 -0.351174 -0.808542
8.500000 39.500000 64.500000 0.459948 -0.333006 -0.823137
8.500000 39.500000 65.500000 0.448326 -0.315189 -0.836457
8.500000 39.500000 66.500000 0.437220 -0.297333 -0.848783
8.500000 39.500000 67.500000 0.426450 -0.279111 -0.860370
8.500000 39.500000 68.500000 0.415753 -0.260272 -0.871440
8.500000 39.500000 69.500000 0.404798 -0.240655 -0.882170
8.500000 39.500000 70.500000 0.393214 -0.220200 -0.892689
8.500000 39.500000 71.500000 0.380623 -0.198965 -0.903072
8.500000 39.500000 72.500000 0.366678 -0.177125 -0.913331
8.500000 39.500000 73.500000 0.351130 -0.154980 -0.923412
8.500000 39.500000 74.500000 0.333908 -0.132923 -0.933186
8.500000 39.500000 75.500000 0.315242 -0.111389 -0.942452
8.500000 39.500000 76.500000 0.295827 -0.090720 -0.950924
8.500000 39.500000 77.500000 0.277053 -0.070898 -0.958235
8.500000 39.500000 78.500000 0.261328 -0.050962 -0.963904
8.500000 39.500000 79.500000 0.252491 -0.027640 -0.967204
8.500000 40.500000 48.500000 0.205727 -0.852991 -0.479670
8.500000 40.500000 49.500000 0.297961 -0.816985 -0.493715
8.500000 40.500000 50.500000 0.366243 -0.774407 -0.515907
8.500000 40.500000 51.500000 0.415111 -0.729284 -0.543900
8.500000 40.500000 52.500000 0.448230 -0.684081 -0.575433
8.500000 40.500000 53.500000 0.468647 -0.640338 -0.608553
8.500000 40.500000 54.500000 0.478948 -0.599017 -0.641707
8.500000 40.500000 55.500000 0.481357 -0.560684 -0.673743
8.500000 40.500000 56.500000 0.477787 -0.525616 -0.703880
8.500000 40.500000 57.500000 0.469874 -0.493866 -0.731652
8.500000 40.500000 58.500000 0.458992 -0.465312 -0.756843
8.500000 40.500000 59.500000 0.446267 -0.439699 -0.779430
8.500000 40.500000 60.500000 0.432591 -0.416672 -0.799531
8.500000 40.500000 61.500000 0.418642 -0.395815 -0.817355
8.500000 40.500000 62.500000 0.404901 -0.376675 -0.833169
8.500000 40.500000 63.500000 0.391678 -0.358791 -0.847265
8.500000 40.500000 64.500000 0.379124 -0.341714 -0.859940
8.500000 40.500000 65.500000 0.367261 -0.325025 -0.871480
8.500000 40.500000 66.500000 0.355997 -0.308351 -0.882148
8.500000 40.500000 67.500000 0.345144 -0.291382 -0.892172
8.500000 40.500000 68.500000 0.334438 -0.273883 -0.901742
8.500000 40.500000 69.500000 0.323560 -0.255704 -0.911002
8.500000 40.500000 70.500000 0.312161 -0.236799 -0.920045
8.500000 40.500000 71.500000 0.299893 -0.217230 -0.928911
8.500000 40.500000 72.500000 0.286455 -0.197179 -0.937584
8.500000 40.500000 73.500000 0.271653 -0.176940 -0.945990
8.500000 40.500000 74.500000 0.255488 -0.156897 -0.953996
8.500000 40.500000 75.500000 0.238273 -0.137466 -0.961420
8.500000 40.500000 76.500000 0.220796 -0.118970 -0.968037
8.500000 40.500000 77.500000 0.204538 -0.101401 -0.973592
8.500000 40.500000 78.500000 0.191978 -0.083986 -0.977799
8.500000 40.500000 79.500000 0.187050 -0.064425 -0.980236
8.500000 41.500000 48.500000 0.163599 -0.830556 -0.532364
8.500000 41.500000 49.500000 0.252200 -0.798330 -0.546868
8.500000 41.500000 50.500000 0.316947 -0.758693 -0.569149
8.500000 41.500000 51.500000 0.362494 -0.716046 -0.596554
8.500000 41.500000 52.500000 0.392590 -0.673052 -0.626796
8.500000 41.500000 53.500000 0.410345 -0.631368 -0.658021
8.500000 41.500000 54.500000 0.418390 -0.592013 -0.688817
8.500000 41.500000 55.500000 0.418969 -0.555584 -0.718187
8.500000 41.500000 56.500000 0.413988 -0.522363 -0.745487
8.500000 41.500000 57.500000 0.405054 -0.492405 -0.770369
8.500000 41.500000 58.500000 0.393495 -0.465583 -0.792713
8.500000 41.500000 59.500000 0.380383 -0.441643 -0.812564
8.500000 41.500000 60.500000 0.366550 -0.420236 -0.830086
8.500000 41.500000 61.500000 0.352620 -0.400956 -0.845513
8.500000 41.500000 62.500000 0.339024 -0.383369 -0.859122
8.500000 41.500000 63.500000 0.326030 -0.367036 -0.871200
8.500000 41.500000 64.500000 0.313761 -0.351532 -0.882031
8.500000 41.500000 65.500000 0.302220 -0.336466 -0.891882
8.500000 41.500000 66.500000 0.291306 -0.321496 -0.900989
8.500000 41.500000 67.500000 0.280838 -0.306337 -0.909554
8.500000 41.500000 68.500000 0.270567 -0.290780 -0.917737
8.500000 41.500000 69.500000 0.260202 -0.274699 -0.925654
8.500000 41.500000 70.500000 0.249432 -0.258067 -0.933373
8.500000 41.500000 71.500000 0.237964 -0.240958 -0.940911
8.500000 41.500000 72.500000 0.225559 -0.223559 -0.948232
8.500000 41.500000 73.500000 0.212103 -0.206161 -0.955254
8.500000 41.500000 74.500000 0.197688 -0.189132 -0.961846
8.500000 41.500000 75.500000 0.182731 -0.172861 -0.967847
8.500000 41.500000 76.500000 0.168132 -0.157640 -0.973078
8.500000 41.500000 77.500000 0.155492 -0.143454 -0.977365
8.500000 41.500000 78.500000 0.147415 -0.129628 -0.980543
8.500000 41.500000 79.500000 0.148038 -0.114235 -0.982362
8.500000 42.500000 48.500000 0.126596 -0.802803 -0.582650
8.500000 42.500000 49.500000 0.211164 -0.774244 -0.596621
8.500000 42.500000 50.500000 0.272181 -0.737720 -0.617808
8.500000 42.500000 51.500000 0.314398 -0.697855 -0.643547
8.500000 42.500000 52.500000 0.341626 -0.657452 -0.671601
8.500000 42.500000 53.500000 0.357013 -0.618245 -0.700225
8.500000 42.500000 54.500000 0.363202 -0.581291 -0.728138
8.500000 42.500000 55.500000 0.362419 -0.547193 -0.754475
8.500000 42.500000 56.500000 0.356534 -0.516230 -0.778710
8.500000 42.500000 57.500000 0.347094 -0.488445 -0.800592
8.500000 42.500000 58.500000 0.335357 -0.463705 -0.820069
8.500000 42.500000 59.500000 0.322321 -0.441754 -0.837235
8.500000 42.500000 60.500000 0.308750 -0.422252 -0.852277
8.500000 42.500000 61.500000 0.295203 -0.404809 -0.865439
8.500000 42.500000 62.500000 0.282059 -0.389016 -0.876989
8.500000 42.500000 63.500000 0.269544 -0.374462 -0.887200
8.500000 42.500000 64.500000 0.257755 -0.360757 -0.896335
8.500000 42.500000 65.500000 0.246679 -0.347546 -0.904633
8.500000 42.500000 66.500000 0.236216 -0.334523 -0.912303
8.500000 42.500000 67.500000 0.226194 -0.321441 -0.919517
8.500000 42.500000 68.500000 0.216390 -0.308124 -0.926410
8.500000 42.500000 69.500000 0.206549 -0.294477 -0.933071
8.500000 42.500000 70.500000 0.196412 -0.280496 -0.939545
8.500000 42.500000 71.500000 0.185746 -0.266275 -0.945831
8.500000 42.500000 72.500000 0.174394 -0.252005 -0.951882
8.500000 42.500000 73.500000 0.162332 -0.237973 -0.957610
8.500000 42.500000 74.500000 0.149758 -0.224528 -0.962891
8.500000 42.500000 75.500000 0.137210 -0.212022 -0.967585
8.500000 42.500000 76.500000 0.125723 -0.200697 -0.971553
8.500000 42.500000 77.500000 0.117045 -0.190483 -0.974688
8.500000 42.500000 78.500000 0.113954 -0.180657 -0.976923
8.500000 42.500000 79.500000 0.120821 -0.169263 -0.978137
8.500000 43.500000 48.500000 0.094186 -0.771005 -0.629826
8.500000 43.500000 49.500000 0.174396 -0.745879 -0.642846
8.500000 43.500000 50.500000 0.231519 -0.712490 -0.662387
8.500000 43.500000 51.500000 0.270379 -0.675585 -0.685915
8.500000 43.500000 52.500000 0.294830 -0.638040 -0.711323
8.500000 43.500000 53.500000 0.308034 -0.601622 -0.736998
8.500000 43.500000 54.500000 0.312618 -0.567396 -0.761795
8.500000 43.500000 55.500000 0.310766 -0.535950 -0.784972
8.500000 43.500000 56.500000 0.304282 -0.507545 -0.806108
8.500000 43.500000 57.500000 0.294634 -0.482203 -0.825028
8.500000 43.500000 58.500000 0.282994 -0.459784 -0.841732
8.500000 43.500000 59.500000 0.270277 -0.440029 -0.856344
8.500000 43.500000 60.500000 0.257168 -0.422611 -0.869060
8.500000 43.500000 61.500000 0.244159 -0.407160 -0.880118
8.500000 43.500000 62.500000 0.231575 -0.393297 -0.889770
8.500000 43.500000 63.500000 0.219603 -0.380646 -0.898267
8.500000 43.500000 64.500000 0.208313 -0.368858 -0.905842
8.500000 43.500000 65.500000 0.197682 -0.357623 -0.912703
8.500000 43.500000 66.500000 0.187611 -0.346677 -0.919031
8.500000 43.500000 67.500000 0.177944 -0.335817 -0.924967
8.500000 43.500000 68.500000 0.168488 -0.324906 -0.930617
8.500000 43.500000 69.500000 0.159033 -0.313888 -0.936046
8.500000 43.500000 70.500000 0.149377 -0.302785 -0.941280
8.500000 43.500000 71.500000 0.139360 -0.291713 -0.946299
8.500000 43.500000 72.500000 0.128912 -0.280872 -0.951048
8.500000 43.500000 73.500000 0.118113 -0.270542 -0.955435
8.500000 43.500000 74.500000 0.107282 -0.261045 -0.959347
8.500000 43.500000 75.500000 0.097095 -0.252686 -0.962664
8.500000 43.500000 76.500000 0.088740 -0.245631 -0.965293
8.500000 43.500000 77.500000 0.084137 -0.239702 -0.967194
8.500000 43.500000 78.500000 0.086256 -0.234024 -0.968397
8.500000 43.500000 79.500000 0.099688 -0.226406 -0.968918
8.500000 44.500000 48.500000 0.065943 -0.735849 -0.673927
8.500000 44.500000 49.500000 0.141506 -0.713920 -0.685780
8.500000 44.500000 50.500000 0.194576 -0.683657 -0.703387
8.500000 44.500000 51.500000 0.230037 -0.649844 -0.724421
8.500000 44.500000 52.500000 0.251764 -0.615376 -0.746946
8.500000 44.500000 53.500000 0.262908 -0.582011 -0.769508
8.500000 44.500000 54.500000 0.266057 -0.550786 -0.791106
8.500000 44.500000 55.500000 0.263328 -0.522257 -0.811114
8.500000 44.500000 56.500000 0.256439 -0.496650 -0.829203
8.500000 44.500000 57.500000 0.246765 -0.473965 -0.845260
8.500000 44.500000 58.500000 0.235380 -0.454048 -0.859323
8.500000 44.500000 59.500000 0.223107 -0.436642 -0.871532
8.500000 44.500000 60.500000 0.210549 -0.421432 -0.882079
8.500000 44.500000 61.500000 0.198130 -0.408076 -0.891189
8.500000 44.500000 62.500000 0.186121 -0.396228 -0.899090
8.500000 44.500000 63.500000 0.174669 -0.385554 -0.906001
8.500000 44.500000 64.500000 0.163821 -0.375753 -0.912125
8.500000 44.500000 65.500000 0.153544 -0.366560 -0.917637
8.500000 44.500000 66.500000 0.143745 -0.357763 -0.922683
8.500000 44.500000 67.500000 0.134287 -0.349207 -0.927373
8.500000 44.500000 68.500000 0.125012 -0.340802 -0.931786
8.500000 44.500000 69.500000 0.115757 -0.332530 -0.935962
8.500000 44.500000 70.500000 0.106385 -0.324448 -0.939902
8.500000 44.500000 71.500000 0.096816 -0.316694 -0.943574
8.500000 44.500000 72.500000 0.087077 -0.309477 -0.946912
8.500000 44.500000 73.500000 0.077365 -0.303068 -0.949823
8.500000 44.500000 74.500000 0.068131 -0.297756 -0.952208
8.500000 44.500000 75.500000 0.060203 -0.293784 -0.953974
8.500000 44.500000 76.500000 0.054940 -0.291217 -0.955078
8.500000 44.500000 77.500000 0.054445 -0.289727 -0.955559
8.500000 44.500000 78.500000 0.061881 -0.288219 -0.955563
8.500000 44.500000 79.500000 0.082020 -0.284169 -0.955260
8.500000 45.500000 48.500000 0.041385 -0.697762 -0.715133
8.500000 45.500000 49.500000 0.112036 -0.678836 -0.725693
8.500000 45.500000 50.500000 0.160899 -0.651699 -0.741215
8.500000 45.500000 51.500000 0.192904 -0.621109 -0.759613
8.500000 45.500000 52.500000 0.211931 -0.589922 -0.779151
8.500000 45.500000 53.500000 0.221097 -0.559848 -0.798553
8.500000 45.500000 54.500000 0.222927 -0.531868 -0.816958
8.500000 45.500000 55.500000 0.219451 -0.506485 -0.833855
8.500000 45.500000 56.500000 0.212284 -0.483883 -0.848995
8.500000 45.500000 57.500000 0.202693 -0.464031 -0.862317
8.500000 45.500000 58.500000 0.191649 -0.446763 -0.873885
8.500000 45.500000 59.500000 0.179876 -0.431824 -0.883840
8.500000 45.500000 60.500000 0.167897 -0.418918 -0.892367
8.500000 45.500000 61.500000 0.156063 -0.407732 -0.899666
8.500000 45.500000 62.500000 0.144594 -0.397957 -0.905938
8.500000 45.500000 63.500000 0.133599 -0.389307 -0.911368
8.500000 45.500000 64.500000 0.123102 -0.381531 -0.916122
8.500000 45.500000 65.500000 0.113062 -0.374419 -0.920341
8.500000 45.500000 66.500000 0.103396 -0.367811 -0.924134
8.500000 45.500000 67.500000 0.093987 -0.361605 -0.927582
8.500000 45.500000 68.500000 0.084715 -0.355761 -0.930730
8.500000 45.500000 69.500000 0.075470 -0.350304 -0.933591
