# x_nm  y_nm  z_nm  mx  my  mz
8.500000 39.500000 0.500000 -0.034508 -0.007203 -0.999379
8.500000 39.500000 1.500000 -0.032840 -0.006850 -0.999437
8.500000 39.500000 2.500000 -0.030593 -0.006381 -0.999512
8.500000 39.500000 3.500000 -0.028230 -0.005888 -0.999584
8.500000 39.500000 4.500000 -0.025957 -0.005414 -0.999648
8.500000 39.500000 5.500000 -0.023865 -0.004977 -0.999703
8.500000 39.500000 6.500000 -0.021982 -0.004583 -0.999748
8.500000 39.500000 7.500000 -0.020305 -0.004232 -0.999785
8.500000 39.500000 8.500000 -0.018820 -0.003921 -0.999815
8.500000 39.500000 9.500000 -0.017505 -0.003645 -0.999840
8.500000 39.500000 10.500000 -0.016338 -0.003399 -0.999861
8.500000 39.500000 11.500000 -0.015297 -0.003180 -0.999878
8.500000 39.500000 12.500000 -0.014365 -0.002984 -0.999892
8.500000 39.500000 13.500000 -0.013524 -0.002807 -0.999905
8.500000 39.500000 14.500000 -0.012763 -0.002647 -0.999915
8.500000 39.500000 15.500000 -0.012068 -0.002501 -0.999924
8.500000 39.500000 16.500000 -0.011432 -0.002368 -0.999932
8.500000 39.500000 17.500000 -0.010846 -0.002245 -0.999939
8.500000 39.500000 18.500000 -0.010304 -0.002131 -0.999945
8.500000 39.500000 19.500000 -0.009800 -0.002025 -0.999950
8.500000 39.500000 20.500000 -0.009330 -0.001927 -0.999955
8.500000 39.500000 21.500000 -0.008890 -0.001835 -0.999959
8.500000 39.500000 22.500000 -0.008476 -0.001749 -0.999963
8.500000 39.500000 23.500000 -0.008087 -0.001668 -0.999966
8.500000 39.500000 24.500000 -0.007719 -0.001591 -0.999969
8.500000 39.500000 25.500000 -0.007370 -0.001519 -0.999972
8.500000 39.500000 26.500000 -0.007040 -0.001450 -0.999974
8.500000 39.500000 27.500000 -0.006725 -0.001385 -0.999976
8.500000 39.500000 28.500000 -0.006425 -0.001322 -0.999978
8.500000 39.500000 29.500000 -0.006138 -0.001263 -0.999980
8.500000 39.500000 30.500000 -0.005864 -0.001206 -0.999982
8.500000 39.500000 31.500000 -0.005600 -0.001152 -0.999984
8.500000 39.500000 32.500000 -0.005348 -0.001100 -0.999985
8.500000 39.500000 33.500000 -0.005104 -0.001049 -0.999986
8.500000 39.500000 34.500000 -0.004870 -0.001001 -0.999988
8.500000 39.500000 35.500000 -0.004644 -0.000954 -0.999989
8.500000 39.500000 36.500000 -0.004426 -0.000909 -0.999990
8.500000 39.500000 37.500000 -0.004214 -0.000866 -0.999991
8.500000 39.500000 38.500000 -0.004009 -0.000824 -0.999992
8.500000 39.500000 39.500000 -0.003811 -0.000783 -0.999992
8.500000 39.500000 40.500000 -0.003618 -0.000743 -0.999993
8.500000 39.500000 41.500000 -0.003430 -0.000704 -0.999994
8.500000 39.500000 42.500000 -0.003247 -0.000667 -0.999995
8.500000 39.500000 43.500000 -0.003068 -0.000630 -0.999995
8.500000 39.500000 44.500000 -0.002894 -0.000594 -0.999996
8.500000 39.500000 45.500000 -0.002724 -0.000559 -0.999996
8.500000 39.500000 46.500000 -0.002558 -0.000525 -0.999997
8.500000 39.500000 47.500000 -0.002395 -0.000492 -0.999997
8.500000 39.500000 48.500000 -0.002235 -0.000459 -0.999997
8.500000 39.500000 49.500000 -0.002078 -0.000426 -0.999998
8.500000 39.500000 50.500000 -0.001923 -0.000395 -0.999998
8.500000 39.500000 51.500000 -0.001771 -0.000364 -0.999998
8.500000 39.500000 52.500000 -0.001622 -0.000333 -0.999999
8.500000 39.500000 53.500000 -0.001474 -0.000303 -0.999999
8.500000 39.500000 54.500000 -0.001328 -0.000273 -0.999999
8.500000 39.500000 55.500000 -0.001184 -0.000243 -0.999999
8.500000 39.500000 56.500000 -0.001041 -0.000214 -0.999999
8.500000 39.500000 57.500000 -0.000900 -0.000185 -1.000000
8.500000 39.500000 58.500000 -0.000760 -0.000156 -1.000000
8.500000 39.500000 59.500000 -0.000620 -0.000127 -1.000000
8.500000 39.500000 60.500000 -0.000482 -0.000099 -1.000000
8.500000 39.500000 61.500000 -0.000344 -0.000071 -1.000000
