# t (s)	mx ()	my ()	mz ()	Dind (J/m2)	B_extx (T)	B_exty (T)	B_extz (T)
0	-3.958816e-09	4.2701833e-09	0.99336237	0.0020999997	0	0	0.21614163
0	1.5457174e-09	4.9818807e-09	0.9935582	0.0020999997	0	0	0.32421243
0	1.690281e-09	-4.092259e-09	0.993742	0.0020999997	0	0	0.43228325
0	2.6243836e-09	-4.092259e-09	0.99391544	0.0020999997	0	0	0.54035383
0	7.7841886e-11	-2.4909403e-09	0.9940793	0.0020999997	0	0	0.64842486
0	-5.2265264e-10	1.0675458e-09	0.99423474	0.0020999997	0	0	0.7564956
0	-1.5012364e-09	1.7792431e-10	0.99438256	0.0020999997	0	0	0.8645665
0	1.4678756e-09	2.1350917e-09	0.99452335	0.0020999997	0	0	0.97263706
0	-1.2454702e-09	2.846789e-09	0.994658	0.0020999997	0	0	1.0807077
0	0.08805507	0.02001498	-0.49369866	0.0024	0	0	0
0	5.849262e-09	3.5584862e-09	0.9911606	0.0024	0	0	0.10807081
0	-3.8698538e-09	5.693578e-09	0.9914282	0.0024	0	0	0.21614163
0	-5.070843e-09	2.846789e-09	0.9916789	0.0024	0	0	0.32421243
0	4.714994e-09	-8.184518e-09	0.9919146	0.0024	0	0	0.43228325
0	-5.337729e-10	5.337729e-10	0.9921366	0.0024	0	0	0.54035383
0	7.784189e-10	-1.4233945e-09	0.992347	0.0024	0	0	0.64842486
0	1.0008243e-09	0	0.99254644	0.0024	0	0	0.7564956
0	1.156508e-09	1.2454702e-09	0.99273616	0.0024	0	0	0.8645665
0	-9.341027e-10	8.8962154e-10	0.992917	0.0024	0	0	0.97263706
0	-1.5790783e-09	2.846789e-09	0.99308974	0.0024	0	0	1.0807077
0	0.08349854	0.018498315	-0.49275357	0.0027000008	0	0	0
0	7.42834e-09	8.540367e-09	0.98895574	0.0027000008	0	0	0.10807081
0	2.2462945e-09	1.7792431e-09	0.98928726	0.0027000008	0	0	0.21614163
0	2.224054e-11	5.693578e-09	0.9895975	0.0027000008	0	0	0.32421243
0	1.2232296e-09	-2.846789e-09	0.98988956	0.0027000008	0	0	0.43228325
0	2.6243836e-09	-2.846789e-09	0.9901651	0.0027000008	0	0	0.54035383
