# x_nm  y_nm  z_nm  mx  my  mz
8.500000 39.500000 16.500000 0.199392 -0.979916 0.002597
8.500000 39.500000 17.500000 0.199404 -0.979914 0.002609
8.500000 39.500000 18.500000 0.199405 -0.979914 0.002626
8.500000 39.500000 19.500000 0.199401 -0.979914 0.002648
8.500000 39.500000 20.500000 0.199396 -0.979915 0.002673
8.500000 39.500000 21.500000 0.199390 -0.979917 0.002701
8.500000 39.500000 22.500000 0.199385 -0.979917 0.002730
8.500000 39.500000 23.500000 0.199379 -0.979918 0.002761
8.500000 39.500000 24.500000 0.199374 -0.979919 0.002792
8.500000 39.500000 25.500000 0.199370 -0.979920 0.002824
8.500000 39.500000 26.500000 0.199365 -0.979921 0.002855
8.500000 39.500000 27.500000 0.199361 -0.979922 0.002887
8.500000 39.500000 28.500000 0.199357 -0.979923 0.002919
8.500000 39.500000 29.500000 0.199353 -0.979923 0.002951
8.500000 39.500000 30.500000 0.199349 -0.979924 0.002982
8.500000 39.500000 31.500000 0.199344 -0.979925 0.003013
8.500000 39.500000 32.500000 0.199340 -0.979926 0.003043
8.500000 39.500000 33.500000 0.199336 -0.979926 0.003073
8.500000 39.500000 34.500000 0.199332 -0.979927 0.003102
8.500000 39.500000 35.500000 0.199328 -0.979928 0.003130
8.500000 39.500000 36.500000 0.199323 -0.979929 0.003158
8.500000 39.500000 37.500000 0.199319 -0.979930 0.003185
8.500000 39.500000 38.500000 0.199315 -0.979930 0.003212
8.500000 39.500000 39.500000 0.199310 -0.979931 0.003237
8.500000 39.500000 40.500000 0.199306 -0.979932 0.003262
8.500000 39.500000 41.500000 0.199301 -0.979933 0.003286
8.500000 39.500000 42.500000 0.199297 -0.979934 0.003309
8.500000 39.500000 43.500000 0.199292 -0.979934 0.003331
8.500000 39.500000 44.500000 0.199288 -0.979935 0.003352
8.500000 39.500000 45.500000 0.199283 -0.979936 0.003372
8.500000 39.500000 46.500000 0.199279 -0.979937 0.003392
8.500000 39.500000 47.500000 0.199274 -0.979938 0.003410
8.500000 39.500000 48.500000 0.199270 -0.979939 0.003427
8.500000 39.500000 49.500000 0.199266 -0.979939 0.003444
8.500000 39.500000 50.500000 0.199261 -0.979940 0.003459
8.500000 39.500000 51.500000 0.199257 -0.979941 0.003473
8.500000 39.500000 52.500000 0.199252 -0.979942 0.003486
