# t (s)	mx ()	my ()	mz ()	Dind (J/m2)	B_extx (T)	B_exty (T)	B_extz (T)
0	0.119495474	3.7719954e-07	-0.33361644	0.0018000004	0	0	0
0	0.12285917	-0.031357337	-0.40924242	0.0018000004	0.0037022377	-0.018189332	0
0	0.13355048	-0.093046956	-0.32924563	0.0018000004	0.0074044755	-0.036378663	0
0	0.12127619	-0.11340216	-0.4851324	0.0018000004	0.011106713	-0.054568	0
0	0.14515829	-0.095690966	-0.15784833	0.0018000004	0.014808951	-0.072757326	0
0	0.15234947	-0.14320101	-0.1543606	0.0018000004	0.018511187	-0.09094666	0
0	0.15822129	-0.18952033	-0.14899513	0.0018000004	0.022213425	-0.109136	0
0	0.16316837	-0.23437633	-0.14095512	0.0018000004	0.025915667	-0.12732531	0
0	0.1675708	-0.27754828	-0.12863421	0.0018000004	0.029617902	-0.14551465	0
0	0.17203733	-0.31816843	-0.10386644	0.0018000004	0.033320144	-0.16370395	0
0	0.16794018	-0.34619588	-1.78209e-06	0.0018000004	0.037022375	-0.18189332	0
0	0.12607244	-0.01766156	-0.2404387	0.0020999997	0	0	0
0	0.13208991	-0.061988775	-0.24619396	0.0020999997	0.0037022377	-0.018189332	0
0	0.12816995	-0.08981923	-0.32926667	0.0020999997	0.0074044755	-0.036378663	0
0	0.12561013	-0.10520375	-0.44198662	0.0020999997	0.011106713	-0.054568	0
0	0.13878542	-0.092664346	-0.15700477	0.0020999997	0.014808951	-0.072757326	0
0	0.14623311	-0.1385134	-0.15341581	0.0020999997	0.018511187	-0.09094666	0
0	0.15247953	-0.18341039	-0.14791633	0.0020999997	0.022213425	-0.109136	0
0	0.15783992	-0.22707282	-0.13956636	0.0020999997	0.025915667	-0.12732531	0
0	0.16267484	-0.26916608	-0.12601565	0.0020999997	0.029617902	-0.14551465	0
0	0.15816452	-0.29432082	-1.5031046e-06	0.0020999997	0.033320144	-0.16370395	0
0	0.16233331	-0.33668467	-1.5031046e-06	0.0020999997	0.037022375	-0.18189332	0
0	0.088055104	0.02001498	-0.49369854	0.0024	0	0	0
0	0.12588556	-0.060140975	-0.24350804	0.0024	0.0037022377	-0.018189332	0
0	0.10505605	-0.06572282	-0.48877585	0.0024	0.0074044755	-0.036378663	0
0	0.13215123	-0.07134652	-0.2837764	0.0024	0.011106713	-0.054568	0
0	0.13224235	-0.09060721	-0.15601657	0.0024	0.014808951	-0.072757326	0
0	0.13980295	-0.13492191	-0.15229592	0.0024	0.018511187	-0.09094666	0
0	0.14628926	-0.1784532	-0.14663376	0.0024	0.022213425	-0.109136	0
0	0.15196046	-0.22092019	-0.13795842	0.0024	0.025915667	-0.12732531	0
0	0.15719803	-0.26183337	-0.12264637	0.0024	0.029617902	-0.14551465	0
0	0.15193313	-0.28685972	-1.2753615e-06	0.0024	0.033320144	-0.16370395	0
0	0.15624684	-0.3282923	-1.3379909e-06	0.0024	0.037022375	-0.18189332	0
0	0.08349859	0.01849832	-0.4927534	0.0027000008	0	0	0
0	0.092227876	-0.023288276	-0.49113998	0.0027000008	0.0037022377	-0.018189332	0
0	0.11248738	-0.05029825	-0.3929397	0.0027000008	0.0074044755	-0.036378663	0
0	0.1255313	-0.07246862	-0.2916889	0.0027000008	0.011106713	-0.054568	0
0	0.1256587	-0.089294106	-0.15491602	0.0027000008	0.014808951	-0.072757326	0
0	0.13323496	-0.13219984	-0.15105216	0.0027000008	0.018511187	-0.09094666	0
0	0.13986431	-0.17444758	-0.14522241	0.0027000008	0.022213425	-0.109136	0
0	0.14576931	-0.21576491	-0.13623664	0.0027000008	0.025915667	-0.12732531	0
0	0.1514715	-0.25530478	-0.117287844	0.0027000008	0.029617902	-0.14551465	0
0	0.14549975	-0.28052482	-1.6511376e-06	0.0027000008	0.033320144	-0.16370395	0
0	0.14992127	-0.32095468	-2.7329174e-06	0.0027000008	0.037022375	-0.18189332	0
0	0.07894123	0.016986717	-0.4916957	0.0029999998	0	0	0
0	0.11543078	-0.070732854	-0.17492129	0.0029999998	0.0037022377	-0.018189332	0
0	0.111276105	-0.03260828	-0.30494115	0.0029999998	0.0074044755	-0.036378663	0
0	0.119013704	-0.07296466	-0.2950147	0.0029999998	0.011106713	-0.054568	0
0	0.11913074	-0.08855756	-0.15372883	0.0029999998	0.014808951	-0.072757326	0
0	0.12665726	-0.13017501	-0.14972173	0.0029999998	0.018511187	-0.09094666	0
0	0.050804254	-0.2206732	-0.934222	0.0029999998	0.022213425	-0.109136	0
0	0.13944368	-0.21147694	-0.13449264	0.0029999998	0.025915667	-0.12732531	0
0	0.14548798	-0.24999098	-0.113973714	0.0029999998	0.029617902	-0.14551465	0
0	0.1390387	-0.27518573	-2.2774311e-06	0.0029999998	0.033320144	-0.16370395	0
0	0.14354263	-0.31458372	-3.615422e-06	0.0029999998	0.037022375	-0.18189332	0
