# t (s)	mx ()	my ()	mz ()	Dbulk (J/m2)	Ku1 (J/m3)
0	0.0005746478	0.00040125288	0.970836	0.0009999995	110000
0	0.00023017726	0.00016229558	0.97956955	0.0009999995	110000
0	0.00012832868	9.683904e-05	0.9823266	0.0009999995	110000
0	8.6646025e-05	6.72664e-05	0.9835649	0.0009999995	110000
0	6.490813e-05	5.1702147e-05	0.9842841	0.0009999995	110000
0	5.224642e-05	4.2433803e-05	0.984768	0.0009999995	110000
0	4.3063916e-05	3.655628e-05	0.98511803	0.0009999995	110000
0	3.7132628e-05	3.192979e-05	0.98538566	0.0009999995	110000
0	0.00065385725	0.00036910342	0.9314627	0.0013000047	110000
0	0.00024980714	0.00015423844	0.96159416	0.0013000047	110000
0	0.00012932777	8.844943e-05	0.9687521	0.0013000047	110000
0	8.309606e-05	5.8994283e-05	0.9714824	0.0013000047	110000
0	5.8653484e-05	4.4240132e-05	0.97300094	0.0013000047	110000
0	4.7047823e-05	3.6297293e-05	0.97401285	0.0013000047	110000
0	4.02977e-05	3.1031665e-05	0.9747403	0.0013000047	110000
0	3.4961144e-05	2.7292574e-05	0.9752871	0.0013000047	110000
0	0.0007184163	0.00033792786	0.8783454	0.0015000036	110000
0	0.00026972173	0.00015172108	0.944161	0.0015000036	110000
0	0.00013082185	8.343996e-05	0.9567242	0.0015000036	110000
0	7.5837495e-05	5.1860963e-05	0.9609823	0.0015000036	110000
0	5.3053795e-05	3.8786606e-05	0.96333754	0.0015000036	110000
0	4.3034448e-05	3.2043623e-05	0.9649191	0.0015000036	110000
0	3.67569e-05	2.766041e-05	0.9660494	0.0015000036	110000
0	3.3550743e-05	2.4262943e-05	0.9668958	0.0015000036	110000
0	0.00072220096	0.00031965083	0.7887878	0.0017000063	110000
0	0.00029239	0.0001516747	0.92073756	0.0017000063	110000
0	0.00013078368	7.762821e-05	0.94167846	0.0017000063	110000
0	6.7815825e-05	4.4430235e-05	0.9479442	0.0017000063	110000
0	4.378096e-05	3.266509e-05	0.9515023	0.0017000063	110000
0	3.8963008e-05	2.7769136e-05	0.95393115	0.0017000063	110000
0	3.5708043e-05	2.4523675e-05	0.9556535	0.0017000063	110000
0	3.2979126e-05	2.1847216e-05	0.9569362	0.0017000063	110000
0	0.00022741102	-0.00013207014	-0.003159656	0.001999999	110000
0	0.00029785262	0.00015157621	0.8707733	0.001999999	110000
0	0.0001242301	6.635798e-05	0.9116978	0.001999999	110000
0	5.297575e-05	3.1239808e-05	0.9217812	0.001999999	110000
0	3.3138786e-05	2.297852e-05	0.92828983	0.001999999	110000
0	3.1779437e-05	2.145938e-05	0.93280864	0.001999999	110000
0	3.358519e-05	2.0476791e-05	0.93594503	0.001999999	110000
0	3.3379096e-05	1.8818326e-05	0.9382662	0.001999999	110000
0	0.00031825123	-0.00020183808	-0.0028821537	0.0023000026	110000
0	0.00033013555	0.0002267514	0.79881215	0.0023000026	110000
0	0.00011295611	4.9745227e-05	0.8706667	0.0023000026	110000
0	4.2788357e-05	1.4987356e-05	0.8850206	0.0023000026	110000
0	2.9127943e-05	1.2689446e-05	0.89676327	0.0023000026	110000
0	2.9812027e-05	1.7140048e-05	0.9047182	0.0023000026	110000
0	3.3608798e-05	1.8501423e-05	0.9100539	0.0023000026	110000
0	3.4176628e-05	1.6810178e-05	0.9140412	0.0023000026	110000
0	-0.00036327366	0.00024504293	0.0024306295	0.0024999978	110000
0	-0.00019506805	0.00017235722	0.0017668054	0.0024999978	110000
0	0.00011772535	2.13476e-05	0.8377334	0.0024999978	110000
0	3.596608e-05	-2.2982922e-06	0.8545044	0.0024999978	110000
0	2.2711725e-05	3.136772e-06	0.8715018	0.0024999978	110000
0	2.9142315e-05	1.553075e-05	0.8823627	0.0024999978	110000
0	3.20521e-05	1.8334573e-05	0.88949126	0.0024999978	110000
0	3.037379e-05	1.5420628e-05	0.89492834	0.0024999978	110000
0	-0.003801077	0.00027483635	-4.239478e-05	0.0030000072	110000
0	-0.00025140363	0.00021670948	0.0018165269	0.0030000072	110000
0	0.019244153	-0.008962831	0.035551243	0.0030000072	110000
0	-0.00012269116	0.000117532625	0.0017703527	0.0030000072	110000
0	-0.0017028115	1.3398625e-05	0.008282325	0.0030000072	110000
0	0.0071143233	-0.007102018	-4.85095e-05	0.0030000072	110000
0	-0.0038223213	-0.0051550637	0.017207127	0.0030000072	110000
0	-0.0104210125	-0.00563465	0.0115984455	0.0030000072	110000
